PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Jaxson Hayes,NOP,19,56,26,30,17.0,107.7,109.8,-2.1,7.7,1.24,12.7,8.1,13.7,10.9,10.2,66.2,67.5,14.8,107.79,9.5,2019
Joel Embiid,PHI,26,44,28,16,30.2,106.2,101.4,4.8,18.5,1.01,12.0,8.9,27.8,18.6,11.8,51.4,59.3,31.3,101.91,19.7,2019
John Henson,DET,29,40,8,32,15.0,104.0,104.7,-0.7,13.3,1.50,19.2,7.7,19.1,13.4,12.8,57.9,57.8,16.0,100.77,10.8,2019
Jonas Valanciunas,MEM,27,62,30,32,26.3,107.8,107.4,0.4,10.2,1.02,11.5,11.1,27.7,19.7,11.3,60.8,63.1,21.0,103.39,16.2,2019
Julius Randle,NYK,25,64,21,43,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1,2019
Justin Patton,OKC,22,5,2,3,4.8,94.8,126.8,-32.0,11.1,1.00,14.3,4.2,17.4,10.6,14.3,45.0,45.0,19.4,112.86,2.9,2019
Karl-Anthony Towns,MIN,24,35,10,25,33.9,113.9,115.4,-1.5,21.0,1.39,15.7,7.5,24.0,15.5,11.3,60.0,64.2,27.8,104.69,16.8,2019
Kelly Olynyk,MIA,28,59,38,21,18.5,111.6,108.7,2.9,13.0,1.54,19.0,3.4,19.2,11.6,12.3,60.3,64.0,15.9,101.62,10.3,2019
Kevin Love,CLE,31,56,16,40,31.8,107.4,115.4,-8.0,15.0,1.27,15.8,3.0,28.6,15.5,12.4,55.0,59.9,22.5,100.17,14.0,2019
Khem Birch,ORL,27,40,16,24,19.4,101.4,107.6,-6.2,6.5,1.52,17.2,8.1,14.5,11.1,11.3,48.7,52.9,9.2,98.81,6.1,2019
Kristaps Porzingis,DAL,24,51,30,21,31.3,115.7,107.1,8.6,8.6,1.06,8.3,5.3,22.2,14.0,7.8,49.8,54.0,25.8,101.32,12.4,2019
Kyle O'Quinn,PHI,30,26,17,9,9.9,103.5,112.4,-8.9,19.2,1.94,26.3,11.2,25.9,18.1,13.5,53.5,54.1,15.4,100.56,12.1,2019
LaMarcus Aldridge,SAS,34,53,23,30,33.1,110.2,113.4,-3.2,11.7,1.74,12.0,5.8,16.2,11.0,6.9,53.2,57.1,23.6,99.82,12.0,2019
Larry Nance Jr.,CLE,27,56,16,40,26.3,105.6,110.7,-5.1,12.6,2.05,19.0,6.8,20.9,13.6,9.2,59.6,60.8,15.0,99.92,12.5,2019
Lauri Markkanen,CHI,22,50,18,32,29.8,105.3,107.3,-2.0,7.7,0.91,9.1,3.8,17.4,10.4,10.0,51.7,56.0,20.9,101.72,10.3,2019
Luke Kornet,CHI,24,36,11,25,15.5,103.4,107.0,-3.6,8.2,2.29,13.0,3.7,11.8,7.5,5.7,52.1,53.9,16.3,101.45,7.3,2019
Marc Gasol,TOR,35,36,28,8,27.5,110.6,100.2,10.4,16.6,2.88,29.7,2.9,18.0,10.9,10.3,52.8,54.6,12.7,101.81,9.2,2019
