PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Dragan Bender,GSW,22,16,10,6,17.8,105.9,104.8,1.1,14.2,1.33,19.0,6.0,18.3,12.6,14.3,52.7,54.5,18.0,103.13,7.9,2019
Draymond Green,GSW,30,43,10,33,28.4,103.2,110.4,-7.2,31.0,2.71,37.1,1.8,19.2,10.4,13.7,44.6,48.9,15.6,102.94,10.0,2019
Drew Eubanks,SAS,23,14,8,6,9.3,104.6,119.7,-15.1,6.0,0.50,10.4,6.3,20.9,13.6,20.8,76.8,77.6,14.0,104.53,8.8,2019
Duncan Robinson,MIA,25,65,41,24,30.0,113.9,106.2,7.7,6.7,1.52,11.7,0.5,10.1,5.5,7.7,66.5,67.8,15.4,98.98,7.9,2019
Dwayne Bacon,CHA,24,39,10,29,17.6,100.9,109.1,-8.2,12.1,1.41,14.6,2.0,12.4,6.9,10.4,38.7,41.9,18.9,99.14,4.9,2019
Dwight Howard,LAL,34,62,49,13,19.2,112.8,106.0,6.8,4.8,0.58,9.4,12.7,25.0,18.8,16.3,73.7,69.6,14.3,99.37,11.4,2019
Dwight Powell,DAL,28,40,25,15,26.5,116.3,107.4,8.9,7.6,1.64,15.8,7.1,13.2,10.2,9.7,65.9,67.7,12.6,99.41,9.4,2019
Dzanan Musa,BKN,20,35,17,18,11.5,100.1,105.5,-5.3,11.6,1.07,14.1,4.2,11.2,7.7,13.2,41.4,46.7,18.7,104.85,6.6,2019
Ed Davis,UTA,30,25,15,10,10.7,94.4,108.2,-13.8,4.5,0.62,13.3,10.2,24.0,17.0,21.7,41.2,42.5,8.4,100.04,4.8,2019
Elie Okobo,PHX,22,54,22,32,13.1,105.8,109.1,-3.3,22.7,2.97,31.2,2.2,10.1,6.1,10.5,46.7,51.1,14.9,101.10,7.7,2019
Eric Mika,SAC,25,1,0,1,19.0,122.0,102.4,19.5,0.0,0.00,0.0,11.1,26.3,18.9,0.0,66.7,77.3,8.9,103.35,7.7,2019
Eric Paschall,GSW,23,60,14,46,27.6,103.6,114.2,-10.6,12.6,1.35,13.4,4.7,11.6,8.1,9.9,52.6,57.1,20.7,102.09,9.6,2019
Ersan Ilyasova,MIL,32,56,45,11,16.0,111.2,104.3,6.9,6.9,1.42,11.6,6.3,21.1,13.9,8.2,55.2,59.1,16.1,107.63,10.6,2019
Evan Fournier,ORL,27,61,26,35,31.7,107.0,110.0,-3.0,16.1,1.61,15.3,0.8,7.3,4.0,9.5,56.4,59.9,23.8,99.90,9.9,2019
Evan Turner,MIN,31,19,3,16,13.2,92.2,103.6,-11.4,23.5,1.46,27.9,2.8,10.7,6.7,19.1,37.3,42.4,15.4,107.37,6.2,2019
Frank Kaminsky,PHX,27,32,12,20,22.4,106.6,108.9,-2.3,15.1,2.15,16.9,3.9,17.7,10.6,7.8,52.5,55.4,20.2,104.38,10.2,2019
