Position,index,PIE,YEAR,AGE,PLAYER,FP,MIN,PTS,FGM,FGA,DREB,TOV,REB,FTA,FTM,AST,OREB,GP,3PA,OFFRTG,TS%,AST%,REB%,FG%,AST/TO,NETRTG,Salary,PlayerGrade
Forward,2840,8.5,2019,20,Naz Reid,19,16.5,9,3.3,8.1,3,0.7,4.1,1.8,1.2,1.2,1.1,30,3.2,108.4,50.5,10.6,11.5,41.2,1.59,0.7,898310,belowAverage
Forward,2842,13.2,2019,25,Nerlens Noel,21.6,18.4,7.7,3.2,4.6,3.4,1,4.9,1.8,1.4,1,1.5,55,0.1,107.5,71.4,8.1,13.1,68.5,0.98,1.8,1882867,aboveAvergae
Forward,3114,12.2,2018,25,Nerlens Noel,16.5,13.7,4.9,2.1,3.6,2.6,0.6,4.2,1,0.7,0.6,1.6,77,0,99,60.8,6.7,13.9,58.7,0.94,-2.6,1757429,aboveAvergae
Forward,3628,12.6,2016,23,Nerlens Noel,22.9,20.5,8.7,3.6,6.1,3.9,1,5.8,2.2,1.5,1,1.8,51,0,102.3,62.2,7.8,14.3,59.5,0.98,-3.3,4384490,good
Forward,3891,11.3,2015,22,Nerlens Noel,31,29.3,11.1,4.6,8.8,5.8,2.4,8.1,3.4,2,1.8,2.3,67,0,95.5,54.4,10.7,13.4,52.1,0.77,-10.8,3457800,good
Forward,4137,10.8,2014,21,Nerlens Noel,31.3,30.8,9.9,4,8.7,5.7,1.9,8.1,3.1,1.9,1.7,2.5,75,0,91.8,49.3,9.9,12.7,46.2,0.88,-9.1,3315120,good
Forward,2844,9.2,2019,20,Nicolas Claxton,10.7,12.5,4.4,1.8,3.2,1.7,0.6,2.9,1.4,0.7,1.1,1.3,15,0.5,94.1,57.7,14.2,10.1,56.3,1.78,-15.6,898310,belowAverage
Forward,3632,16.7,2016,22,Nikola Jokic,38.3,27.9,16.7,6.8,11.7,6.9,2.3,9.8,3.1,2.6,4.9,2.9,73,1.9,116.3,64,26.6,17.8,57.8,2.1,6.5,1358500,aboveAvergae
Forward,4863,8.7,2011,21,Nikola Vucevic,14.8,15.9,5.5,2.6,5.7,3.1,0.6,4.8,0.7,0.4,0.6,1.7,51,0.2,98.5,46.2,6.3,14.8,45,0.94,1.4,1645400,aboveAvergae
Forward,2863,12.5,2019,22,Robert Williams III,16.7,14,4.3,1.8,2.7,3.2,0.9,4.7,1.1,0.6,1,1.5,23,0,109.7,67.1,9.7,15.9,67.7,1.1,1.2,3266406.97,good
Forward,3138,11.1,2018,21,Robert Williams III,10.2,8.8,2.5,1.1,1.6,1.7,0.3,2.5,0.5,0.3,0.2,0.8,32,0,98.2,70.3,4,12.6,70.6,0.7,-5.9,1718233.8,aboveAvergae
Forward,5541,5.1,2008,21,Robin Lopez,7.8,10.2,3.2,1.2,2.3,1.1,0.5,2,1.1,0.8,0.1,0.9,60,0,103.3,56.6,1.9,9.7,51.8,0.29,-4.5,1623720,aboveAvergae
Forward,2878,9.3,2019,24,Skal Labissiere,16.4,17.2,5.8,2.5,4.5,3.2,0.9,5.1,1,0.8,1.3,2,33,0.4,107.8,58.8,10.6,13.1,55.1,1.4,1.3,2338846,aboveAvergae
Forward,3412,8.4,2017,22,Skal Labissiere,18.7,20.7,8.7,3.4,7.6,3.2,1.2,4.8,2,1.6,1.2,1.6,60,0.9,104.5,51.3,8.8,11.7,44.8,0.99,-4.3,1312611,aboveAvergae
Forward,3663,10.6,2016,21,Skal Labissiere,17.4,18.5,8.8,3.5,6.6,3.4,1.1,4.9,2.2,1.6,0.8,1.5,33,0.2,104.4,57.7,7.1,13.2,53.7,0.73,-2.8,1188840,aboveAvergae
Forward,2895,12.2,2019,22,Thomas Bryant,25.6,23.7,12.1,4.8,8.1,4.9,1.3,6.8,2.5,1.8,1.9,2,38,1.4,110.6,65.9,11.2,14.1,59.9,1.48,-7,8000000,topPayer
Forward,2896,7.6,2019,23,Thon Maker,11.5,12.9,4.7,1.6,3.2,1.9,0.8,2.8,1.8,1.2,0.7,0.9,60,1.1,103.8,58.2,8.8,11,48.2,0.96,-8,3569643,good
Forward,3423,5,2017,21,Thon Maker,12.5,16.7,4.8,1.8,4.3,2,0.6,3,1.3,0.9,0.6,1,74,1.4,105.8,49.9,5.5,9.7,41.1,1.05,-5,3086784,good
Forward,3677,7.2,2016,20,Thon Maker,8.6,9.9,4,1.5,3.2,1.3,0.3,2,0.9,0.6,0.4,0.7,57,1.3,105,55.8,6.9,10.9,45.9,1.35,-1.6,2568600,good
Forward,2900,12.1,2019,22,Tony Bradley,12.1,10.7,4.7,2.1,3.1,2.5,0.5,4.3,0.8,0.5,0.3,1.8,50,0,110.1,67.5,4.6,19,66.5,0.74,3.3,1962360,aboveAvergae
Forward,2905,10.8,2019,29,Tristan Thompson,29.9,30.2,12,5.1,9.9,6.2,1.8,10.1,2.8,1.7,2.1,4,57,0.4,105,54,10.6,16.5,51.2,1.17,-10.1,18539130,topPayer
Forward,3169,12.1,2018,28,Tristan Thompson,27.9,27.9,10.9,4.7,8.8,6.2,1.4,10.2,2.5,1.6,2,4,43,0,106.5,55.1,11,18.4,52.9,1.46,-12.3,17469565,topPayer
Forward,3435,8.5,2017,27,Tristan Thompson,15.9,20.2,5.8,2.5,4.4,4.3,0.7,6.6,1.5,0.8,0.6,2.4,53,0,107.7,56.9,4.3,16.1,56.2,0.92,-5.5,16400000,topPayer
Forward,3945,10.6,2015,25,Tristan Thompson,22.3,27.7,7.8,3,5.1,5.7,0.7,9,3,1.8,0.8,3.3,82,0,111,61.1,4,16.2,58.8,1.02,8.7,14260000,topPayer
Forward,4194,9.7,2014,24,Tristan Thompson,21.2,26.8,8.5,3.3,6,4.7,1,8,3,1.9,0.5,3.3,82,0,110.5,58,2.8,14.9,54.7,0.47,5.9,5421233,good
Forward,6521,12.9,2004,22,Tyson Chandler,27.2,27.3,8,2.6,5.2,6.4,1.5,9.7,4.2,2.8,0.8,3.3,80,0,99.9,56.5,4.9,17.1,49.4,0.55,3.1,4801102,good
Forward,6768,11.4,2003,21,Tyson Chandler,20.4,22.5,6.1,1.9,4.5,5.4,1.1,7.7,3.4,2.3,0.7,2.3,35,0,87.9,50.7,5.2,16.4,42.4,0.61,-10,3804360,good
Forward,6993,9.9,2002,20,Tyson Chandler,22.9,24.3,9.2,3.4,6.5,4.6,1.8,6.9,3.9,2.4,1,2.3,75,0,97.3,56.5,6.8,13.8,53.1,0.56,-8.1,3556200,good
Forward,7220,7.2,2001,19,Tyson Chandler,16.8,19.6,6.1,2.1,4.3,3.2,1.4,4.8,3.1,1.9,0.8,1.6,71,0,97.3,54.3,6.3,12.6,49.7,0.55,-7.1,3308160,good
Forward,2912,7,2019,26,Vincent Poirier,5.2,5.4,1.9,0.8,1.6,1.1,0.3,1.6,0.3,0.3,0.3,0.5,21,0.1,104.3,54,8.4,13.7,48.5,1.17,-3.8,2505793,good
Forward,2914,10.3,2019,20,Wendell Carter Jr.,27.5,29.2,11.3,4.3,8,6.2,1.7,9.4,3.5,2.6,1.2,3.2,43,0.7,104.8,59,6.2,15.6,53.4,0.71,-0.5,5246436.21,good
Forward,2918,14.4,2019,25,Willy Hernangomez,13.4,12.1,6.1,2.4,4.5,2.9,1,4.3,1.9,1.2,0.9,1.4,31,0.7,102.2,57.6,13.6,17.1,53.2,0.97,-2.6,1676735,aboveAvergae
Forward,2921,5.1,2019,22,Zach Collins,16.8,28.8,9,3,6.3,2.7,2,4,2,2,2,1.3,3,2.3,116.3,62.4,8.3,7.1,47.4,1,13.1,4240200,good
Forward,3183,8,2018,21,Zach Collins,15.6,17.6,6.6,2.5,5.2,2.8,1,4.2,1.6,1.2,0.9,1.4,77,1.6,107.9,56.2,7.6,11.2,47.3,0.92,0.1,3628920,good
Forward,3449,5.2,2017,20,Zach Collins,10.9,15.8,4.4,1.7,4.4,2.7,0.9,3.3,0.6,0.4,0.8,0.7,66,1.7,107.6,47.5,7,10.5,39.8,0.9,1.3,3057240,good
Forward,2930,27.4,2018,26,Alan Williams,9.5,5.1,3.6,1.6,2.6,3,0.2,3.8,0.8,0.4,0.6,0.8,5,0.2,115.3,61,17.6,26.4,61.5,3,27.1,77250,belowAverage
Forward,3190,8.9,2017,25,Alan Williams,13.9,14.1,4,1.4,3.6,3.8,1.4,4.4,1.8,1.2,1.6,0.6,5,0,90.9,45.5,19.5,14.8,38.9,1.14,0.1,6000000,topPayer
Forward,3456,12.7,2016,24,Alan Williams,18.5,15.1,7.4,2.9,5.7,4.2,0.8,6.2,2.4,1.5,0.5,2,47,0,106.2,54.7,4.9,18.8,51.7,0.62,1.2,874636,belowAverage
Forward,3703,11,2015,23,Alan Williams,10.3,6.8,2.9,1,2.4,2.4,0.6,3.8,1.4,0.9,0.5,1.4,10,0,107.7,48.1,9.6,24.7,41.7,0.83,-0.7,114284,belowAverage
Forward,2936,8,2018,32,Amir Johnson,10,10.4,3.9,1.5,3.1,2,0.9,2.9,0.8,0.6,1.2,0.9,51,0.8,104.7,57.4,15.6,13.3,50.3,1.33,-5,2393887,aboveAvergae
Forward,3195,8.8,2017,31,Amir Johnson,15.2,15.8,4.6,1.9,3.5,2.8,0.7,4.5,1.1,0.7,1.6,1.7,74,0.4,102.5,57.5,13.7,13.6,53.8,2.15,1.5,11000000,topPayer
