PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Darius Bazley,OKC,19,53,32,21,17.2,98.3,101.6,-3.3,4.6,0.73,9.0,2.2,17.3,10.0,12.4,44.8,47.5,13.7,101.69,7.7,2019
Darius Garland,CLE,20,59,17,42,30.9,105.2,113.8,-8.7,18.2,1.52,20.6,1.4,4.6,3.0,13.6,47.6,49.8,20.1,100.37,5.7,2019
Daryl Macon,MIA,24,4,4,0,3.5,78.6,71.0,7.6,14.3,0.50,16.7,0.0,0.0,0.0,33.3,50.0,50.0,16.7,100.43,-2.8,2019
David Nwaba,BKN,27,20,8,12,13.4,102.1,94.9,7.2,4.6,1.00,8.0,2.7,10.9,7.1,8.0,60.6,62.7,13.9,104.69,9.8,2019
De'Aaron Fox,SAC,22,45,19,26,31.7,110.8,113.7,-2.9,33.3,2.16,23.9,2.0,10.6,6.3,11.1,50.9,55.6,28.7,102.07,12.3,2019
De'Andre Hunter,ATL,22,63,19,44,32.0,108.0,113.6,-5.5,7.9,1.09,11.7,2.1,11.6,6.8,10.7,48.9,52.1,17.3,103.96,5.8,2019
De'Anthony Melton,MEM,21,52,25,27,19.4,111.4,105.2,6.2,20.1,2.01,24.8,3.5,13.9,8.9,12.3,47.2,52.5,18.9,105.80,10.0,2019
DeAndre' Bembry,ATL,25,43,10,33,21.3,98.9,110.6,-11.8,13.0,1.35,20.7,3.4,12.3,7.7,15.3,48.9,50.0,13.7,105.69,6.9,2019
DeMar DeRozan,SAS,30,61,26,35,34.3,111.3,113.9,-2.7,26.1,2.31,21.1,1.9,14.2,8.1,9.1,53.0,59.7,26.4,100.38,13.9,2019
Dejounte Murray,SAS,23,58,24,34,25.0,108.7,113.8,-5.1,23.8,2.19,25.7,4.5,18.4,11.4,11.7,50.7,53.5,20.5,100.92,11.4,2019
Delon Wright,DAL,27,65,39,26,21.7,110.8,108.8,1.9,21.7,3.24,31.0,4.2,12.6,8.4,9.6,52.9,56.3,14.3,101.50,11.0,2019
Dennis Schroder,OKC,26,63,39,24,31.0,109.0,103.1,6.0,22.0,1.61,17.6,1.0,10.0,5.7,10.9,53.2,57.3,26.2,101.58,12.2,2019
Dennis Smith Jr.,NYK,22,34,7,27,15.8,95.7,112.8,-17.1,29.7,1.69,25.1,3.4,10.2,6.7,14.8,37.9,39.9,22.3,101.15,4.9,2019
Denzel Valentine,CHI,26,36,12,24,13.6,99.7,104.7,-5.0,14.7,1.65,13.9,1.6,13.8,7.2,8.4,50.6,51.1,22.9,100.55,9.4,2019
Deonte Burton,OKC,26,34,20,14,8.4,93.2,105.2,-12.0,6.3,0.79,8.2,2.0,12.4,7.4,10.4,41.9,42.6,18.4,104.40,4.3,2019
Derrick Rose,DET,31,50,17,33,26.0,108.8,112.2,-3.4,37.3,2.21,22.9,2.1,7.1,4.6,10.4,52.0,55.5,30.3,101.76,14.0,2019
