PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,YEAR
Enes Kanter,BOS,27,51,32,19,17.5,8.2,3.5,6.1,56.6,0.0,0.1,14.3,1.2,1.7,70.8,2.8,5.0,7.7,1.0,1.0,0.4,0.7,1.7,21.3,9,0,3.3,2019
Ivica Zubac,LAC,23,64,44,20,18.1,8.0,3.2,5.3,60.1,0.0,0.0,0.0,1.7,2.2,75.9,2.6,4.6,7.2,1.1,0.8,0.2,0.9,2.3,20.8,7,0,2.8,2019
Nerlens Noel,OKC,25,55,35,20,18.4,7.7,3.2,4.6,68.5,0.0,0.1,33.3,1.4,1.8,76.5,1.5,3.4,4.9,1.0,1.0,1.0,1.5,2.6,21.6,3,0,0.6,2019
Kelly Olynyk,MIA,28,59,38,21,18.5,7.7,2.6,5.4,47.6,1.4,3.1,43.2,1.2,1.4,85.4,0.6,3.8,4.4,1.6,1.1,0.6,0.3,2.4,17.2,3,0,1.4,2019
Jahlil Okafor,NOP,24,28,9,19,15.1,7.6,3.1,5.1,61.1,0.0,0.1,50.0,1.3,2.1,63.8,1.6,2.6,4.3,1.3,1.3,0.3,0.7,2.3,16.2,2,0,-4.0,2019
Marc Gasol,TOR,35,36,28,8,27.5,7.6,2.8,6.6,41.9,1.4,3.5,40.2,0.7,1.0,72.2,0.8,5.5,6.3,3.4,1.2,0.8,0.9,2.8,24.3,3,0,6.6,2019
Dwight Howard,LAL,34,62,49,13,19.2,7.5,3.0,4.1,73.2,0.0,0.1,60.0,1.4,2.9,49.4,2.5,4.9,7.4,0.7,1.2,0.4,1.2,3.2,21.2,8,0,2.7,2019
Jaxson Hayes,NOP,19,56,26,30,17.0,7.5,2.8,4.2,66.0,0.0,0.1,25.0,1.9,3.1,63.0,1.5,2.5,4.0,0.9,0.7,0.4,0.9,2.5,17.0,3,0,-0.9,2019
Ian Mahinmi,WAS,33,38,15,23,21.3,7.4,2.7,5.5,49.5,0.1,0.7,19.2,1.8,3.0,61.9,2.1,3.7,5.7,1.3,1.2,0.8,1.2,3.0,21.0,1,0,-2.1,2019
Bismack Biyombo,CHA,27,53,18,35,19.4,7.4,2.8,5.2,54.3,0.0,0.0,0.0,1.7,2.8,60.3,2.3,3.5,5.8,0.9,0.9,0.2,0.9,2.2,18.2,8,0,-2.9,2019
Gorgui Dieng,MEM,30,58,18,40,17.5,7.4,2.7,5.9,46.1,0.9,2.4,35.9,1.1,1.4,73.5,1.5,4.3,5.8,1.2,0.9,0.8,1.0,1.9,20.6,9,0,-1.7,2019
Willie Cauley-Stein,DAL,26,54,16,38,20.3,7.2,3.2,5.6,57.9,0.0,0.0,0.0,0.7,1.2,60.6,1.6,4.3,5.8,1.3,0.7,0.9,1.1,2.2,21.5,3,0,-2.4,2019
Mason Plumlee,DEN,30,53,35,18,17.0,7.2,2.9,4.7,61.7,0.0,0.1,0.0,1.4,2.6,53.6,1.7,3.6,5.3,2.4,1.4,0.5,0.6,2.4,19.2,2,0,-0.2,2019
Harry Giles III,SAC,21,38,19,19,15.2,7.0,3.1,5.4,56.0,0.0,0.0,0.0,0.9,1.1,76.7,0.9,3.3,4.2,1.3,0.9,0.6,0.4,2.6,15.8,1,0,-2.7,2019
JaVale McGee,LAL,32,61,48,13,16.8,6.8,3.0,4.6,64.0,0.0,0.1,50.0,0.8,1.2,65.3,1.8,4.0,5.8,0.6,0.8,0.5,1.5,2.4,19.9,2,0,3.1,2019
JaMychal Green,LAC,29,55,38,17,20.5,6.5,2.3,5.5,41.4,1.3,3.7,36.3,0.6,0.8,72.7,1.4,5.0,6.3,0.8,0.8,0.5,0.4,2.7,16.9,7,0,2.6,2019
Chris Boucher,TOR,27,55,39,16,13.2,6.3,2.2,4.7,45.8,0.5,1.8,28.3,1.5,1.9,79.6,1.7,2.7,4.4,0.4,0.4,0.4,1.0,1.9,15.8,4,0,1.5,2019
Boban Marjanovic,DAL,31,37,19,18,9.1,6.3,2.6,4.7,55.5,0.1,0.4,26.7,1.0,1.3,76.6,1.4,2.7,4.1,0.4,0.7,0.2,0.2,1.3,12.2,5,0,1.6,2019
Willy Hernangomez,CHA,25,31,7,24,12.1,6.1,2.4,4.5,53.2,0.2,0.7,22.7,1.2,1.9,62.7,1.4,2.9,4.3,0.9,1.0,0.3,0.2,1.0,13.4,2,0,-0.6,2019
Meyers Leonard,MIA,28,49,34,15,20.1,6.1,2.4,4.6,52.0,1.0,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.7,0.3,0.3,2.1,14.8,2,0,1.9,2019
Anzejs Pasecniks,WAS,24,24,9,15,16.9,6.0,2.3,4.4,52.8,0.0,0.1,0.0,1.3,2.3,59.3,1.6,2.5,4.1,0.7,0.9,0.3,0.5,2.7,13.6,0,0,-0.1,2019
Eric Mika,SAC,25,1,0,1,19.0,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,14.4,0,0,8.0,2019
Luke Kornet,CHI,24,36,11,25,15.5,6.0,2.3,5.2,43.9,0.9,3.0,28.7,0.6,0.8,71.4,0.6,1.7,2.3,0.9,0.4,0.3,0.7,1.5,12.8,0,0,-1.2,2019
Dewayne Dedmon,ATL,30,44,17,27,17.6,5.8,2.3,5.8,40.0,0.5,2.4,20.6,0.7,0.8,83.3,1.4,4.3,5.7,0.5,1.3,0.6,0.9,3.0,16.6,3,0,-0.6,2019
Skal Labissiere,ATL,24,33,14,19,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1.0,75.8,2.0,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1,0,0.4,2019
Damian Jones,ATL,24,55,15,40,16.1,5.6,2.2,3.2,68.0,0.0,0.2,22.2,1.1,1.5,73.8,1.3,2.4,3.7,0.6,0.5,0.5,0.7,2.7,14.1,0,0,-4.7,2019
Jalen McDaniels,CHA,22,16,7,9,18.3,5.6,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.7,0.5,0.2,2.3,13.0,0,0,-1.4,2019
Mo Bamba,ORL,21,60,28,32,14.5,5.5,2.2,4.7,46.8,0.6,1.7,35.6,0.5,0.8,67.4,1.6,3.4,5.0,0.7,0.7,0.4,1.4,1.9,17.2,2,0,0.7,2019
